Hora,Temperatura
00,20.389985867943786
01,20.048126869195656
02,19.73571935077214
03,19.44995260663507
04,19.205631352078143
05,18.99096562103929
06,18.810086100861007
07,18.67828021934356
08,18.592339816251044
09,18.731712606963995
10,19.691817305839276
11,21.39192212254247
12,22.98075390046692
13,24.157282361847088
14,25.00702676141518
15,25.538978372655777
16,25.795551015775736
17,25.719386363636364
18,25.31710202069985
19,24.53798172124905
20,23.361750746382913
21,22.11330598343525
22,21.36926167555096
23,20.87200847864342
